Category,Kmer,Sample,Program,Score,Reads
Duplicated,KmerB,CE1,Trinity,16,"40,302,838"
Duplicated,KmerB,CE2,Trinity,17.8,"50,516,835"
Duplicated,KmerB,CE3,Trinity,9.3,"41,947,175"
Duplicated,KmerB,CE4,Trinity,9,"44,969,393"
Duplicated,KmerB,CE5,Trinity,8.6,"45,605,396"
Duplicated,KmerB,DM1,Trinity,39.3,"87,423,452"
Duplicated,KmerB,DM2,Trinity,44.9,"85,714,154"
Duplicated,KmerB,DM3,Trinity,44.9,"88,252,694"
Duplicated,KmerB,DM4,Trinity,42.9,"82,110,608"
Duplicated,KmerB,DM5,Trinity,48.6,"102,413,880"
Duplicated,KmerB,DM6,Trinity,41.6,"98,529,578"
Duplicated,KmerC,MM1,Trinity,32.1,"33,700,156"
Duplicated,KmerC,MM2,Trinity,40.2,"41,236,457"
Duplicated,KmerC,MM3,Trinity,39.2,"35,598,598"
Duplicated,KmerC,MM4,Trinity,41.4,"41,745,958"
Duplicated,KmerC,MM5,Trinity,40.9,"45,329,544"
Duplicated,KmerC,MM6,Trinity,41.8,"44,469,310"
Duplicated,KmerC,CE1,Trinity,16.8,"40,302,838"
Duplicated,KmerC,CE2,Trinity,17.1,"50,516,835"
Duplicated,KmerC,CE3,Trinity,8.9,"41,947,175"
Duplicated,KmerC,CE4,Trinity,9.6,"44,969,393"
Duplicated,KmerC,CE5,Trinity,8.9,"45,605,396"
Duplicated,KmerC,DM1,Trinity,39.4,"87,423,452"
Duplicated,KmerC,DM2,Trinity,43.9,"85,714,154"
Duplicated,KmerC,DM3,Trinity,45.3,"88,252,694"
Duplicated,KmerC,DM4,Trinity,43.7,"82,110,608"
Duplicated,KmerC,DM5,Trinity,48.9,"102,413,880"
Duplicated,KmerC,DM6,Trinity,42.5,"98,529,578"
Fragmented,KmerA,MM1,Trinity,1.5,"33,700,156"
Fragmented,KmerA,MM2,Trinity,1,"41,236,457"
Fragmented,KmerA,MM3,Trinity,0.6,"35,598,598"
Fragmented,KmerA,MM4,Trinity,4.1,"41,745,958"
Fragmented,KmerA,MM5,Trinity,1.8,"45,329,544"
Fragmented,KmerA,MM6,Trinity,3.7,"44,469,310"
Fragmented,KmerA,CE1,Trinity,2.1,"40,302,838"
Fragmented,KmerA,CE2,Trinity,1.8,"50,516,835"
Fragmented,KmerA,CE3,Trinity,2.4,"41,947,175"
Fragmented,KmerA,CE4,Trinity,1.9,"44,969,393"
Fragmented,KmerA,CE5,Trinity,1.7,"45,605,396"
Fragmented,KmerA,DM1,Trinity,0.8,"87,423,452"
Fragmented,KmerA,DM2,Trinity,0.6,"85,714,154"
Fragmented,KmerA,DM3,Trinity,0.6,"88,252,694"
Fragmented,KmerA,DM4,Trinity,0.7,"82,110,608"
Fragmented,KmerA,DM5,Trinity,0.8,"102,413,880"
Fragmented,KmerA,DM6,Trinity,0.8,"98,529,578"
Fragmented,KmerB,MM1,Trinity,1.4,"33,700,156"
Fragmented,KmerB,MM2,Trinity,0.9,"41,236,457"
Fragmented,KmerB,MM3,Trinity,0.6,"35,598,598"
Fragmented,KmerB,MM4,Trinity,4.3,"41,745,958"
Fragmented,KmerB,MM5,Trinity,1.8,"45,329,544"
Fragmented,KmerB,MM6,Trinity,3.7,"44,469,310"
Fragmented,KmerB,CE1,Trinity,2.1,"40,302,838"
Fragmented,KmerB,CE2,Trinity,1.8,"50,516,835"
Fragmented,KmerB,CE3,Trinity,2.4,"41,947,175"
Fragmented,KmerB,CE4,Trinity,1.9,"44,969,393"
Fragmented,KmerB,CE5,Trinity,1.7,"45,605,396"
Fragmented,KmerB,DM1,Trinity,0.9,"87,423,452"
Fragmented,KmerB,DM2,Trinity,0.7,"85,714,154"
Fragmented,KmerB,DM3,Trinity,0.5,"88,252,694"
Fragmented,KmerB,DM4,Trinity,0.8,"82,110,608"
Fragmented,KmerB,DM5,Trinity,0.8,"102,413,880"
